"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
72,96051349,"mikeymcdx (1/Unl.)",0,176.95,"(OF) Marlon Byrd ,(C) Brian McCann ,(2B) Ian Kinsler ,(SS) Asdrubal Cabrera ,(OF) Brett Gardner ,(P) Chris Archer ,(1B) Todd Frazier ,(OF) Dustin Ackley ,(P) Carlos Martinez ,(3B) Maikel Franco "
73,96052625,"jsh1122 (1/Unl.)",0,176.90,"(1B) Miguel Cabrera ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(C) Jonathan Lucroy ,(OF) Joey Butler ,(P) Collin McHugh ,(2B) Wilmer Flores ,(OF) Brock Holt ,(3B) Maikel Franco ,(SS) Carlos Correa "
74,96047790,"Ljact2 (1/Unl.)",0,176.60,"(SS) Troy Tulowitzki ,(C) Welington Castillo ,(OF) David Peralta ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(OF) A.J. Pollock ,(2B) DJ LeMahieu ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(3B) Kris Bryant "
75,96016815,"garyuscg14 (1/Unl.)",0,176.50,"(1B) Garrett Jones ,(SS) Andres Blanco ,(OF) Jeff Francoeur ,(OF) Brett Gardner ,(3B) Chase Headley ,(P) David Price ,(P) Madison Bumgarner ,(C) Salvador Perez ,(OF) Charlie Blackmon ,(2B) Cesar Hernandez "
75,96066358,"mikeline16 (1/Unl.)",0,176.50,"(1B) Garrett Jones ,(SS) Andres Blanco ,(OF) Jeff Francoeur ,(OF) Brett Gardner ,(3B) Chase Headley ,(P) David Price ,(P) Madison Bumgarner ,(C) Salvador Perez ,(OF) Charlie Blackmon ,(2B) Cesar Hernandez "
77,96048413,"plord64 (6/Unl.)",0,176.25,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(1B) Garrett Jones ,(SS) Andres Blanco ,(C) Brian McCann ,(OF) Chris Young ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(2B) Brian Dozier ,(P) Carlos Martinez "
78,96035281,"mbern000 (3/Unl.)",0,176.20,"(3B) Alex Rodriguez ,(P) Jason Hammel ,(OF) Ben Zobrist ,(OF) Josh Reddick ,(2B) Eric Sogard ,(1B) Ike Davis ,(OF) Billy Burns ,(C) Josh Phegley ,(P) Carlos Martinez ,(SS) Carlos Correa "
78,96063067,"Slah (1/Unl.)",0,176.20,"(3B) Luis Valbuena ,(OF) Chris Parmelee ,(P) Chris Archer ,(P) David Price ,(C) Derek Norris ,(1B) Pedro Alvarez ,(2B) Jose Altuve ,(OF) Domingo Santana ,(OF) George Springer ,(SS) Carlos Correa "
80,96037507,"simplyr (1/Unl.)",0,176.15,"(C) Geovany Soto ,(2B) Alberto Callaspo ,(OF) Brandon Barnes ,(P) Madison Bumgarner ,(OF) Giancarlo Stanton ,(SS) Alexei Ramirez ,(P) Mike Montgomery ,(3B) Nolan Arenado ,(1B) Paul Goldschmidt ,(OF) Bryce Harper "
81,96036187,"Heeks (1/Unl.)",0,176.10,"(OF) Andrew McCutchen ,(P) Jeff Samardzija ,(C) Welington Castillo ,(OF) Jason Heyward ,(SS) Andrew Romine ,(2B) Kolten Wong ,(3B) Nolan Arenado ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(OF) Yoenis Cespedes "
81,96043382,"kprue17 (1/Unl.)",0,176.10,"(C) Brian McCann ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(P) Jeff Samardzija ,(OF) David Peralta ,(2B) Logan Forsythe ,(1B) Paul Goldschmidt ,(SS) Cesar Hernandez ,(P) Carlos Martinez ,(3B) Maikel Franco "
81,96051289,"MNMZBA (3/Unl.)",0,176.10,"(1B) Albert Pujols ,(OF) Brandon Barnes ,(C) Nick Hundley ,(P) Jeff Samardzija ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(OF) Ben Paulsen ,(P) Carlos Martinez ,(SS) Carlos Correa "
84,96062936,"Prayforawin (1/Unl.)",0,175.95,"(OF) Carlos Beltran ,(C) Rene Rivera ,(OF) Carlos Gomez ,(OF) Brett Gardner ,(P) David Price ,(1B) Todd Frazier ,(SS) Andrew Romine ,(2B) Cesar Hernandez ,(P) Carlos Martinez ,(3B) Maikel Franco "
84,96064818,"waterboyalz (19/Unl.)",0,175.95,"(3B) Alex Rodriguez ,(C) Brian McCann ,(2B) Neil Walker ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(P) Chris Archer ,(1B) Ben Paulsen ,(OF) Gregory Polanco ,(P) Carlos Martinez ,(SS) Carlos Correa "
