Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
68,96733067,Timm126 (1/Unl.),0,156.75,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(2B) Brandon Phillips ,(C) Brayan Pena ,(OF) Andrew McCutchen ,(1B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(SS) Jose Pirela ,(P) Dallas Keuchel "
68,96749297,zlabrams (6/Unl.),0,156.75,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Chris Young ,(3B) Todd Frazier ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Carlos Correa "
70,96716030,sgibby1231 (3/Unl.),0,155.95,"(OF) Carlos Beltran ,(3B) Pedro Alvarez ,(P) Lance Lynn ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(C) John Ryan Murphy ,(P) Dallas Keuchel ,(OF) Marcell Ozuna ,(SS) Adeiny Hechavarria ,(1B) Evan Gattis "
70,96748346,08Gary08 (2/Unl.),0,155.95,"(C) Brayan Pena ,(1B) Mark Reynolds ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(SS) Jordy Mercer ,(2B) Kolten Wong ,(P) Dallas Keuchel "
70,96748430,WhoaNelly11 (1/Unl.),0,155.95,"(OF) Jon Jay ,(SS) Marwin Gonzalez ,(OF) Jason Heyward ,(1B) Todd Frazier ,(3B) Pedro Alvarez ,(C) Jason Castro ,(P) Lance Lynn ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Dallas Keuchel "
70,96749019,Mrhelo (1/Unl.),0,155.95,"(OF) Chris Young ,(C) Francisco Cervelli ,(1B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(2B) Kolten Wong ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(3B) Matt Carpenter ,(SS) Eugenio Suarez "
74,96735280,oldcourse02 (11/Unl.),0,154.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(P) Lance Lynn ,(3B) Josh Harrison ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
74,96738319,drinkgood3 (2/Unl.),0,154.95,"(3B) Luis Valbuena ,(OF) Colby Rasmus ,(SS) Marwin Gonzalez ,(OF) Jason Heyward ,(1B) Todd Frazier ,(C) Jason Castro ,(P) Lance Lynn ,(2B) Jose Altuve ,(P) Dallas Keuchel ,(OF) Preston Tucker "
76,96738285,thejester1234 (1/Unl.),0,154.75,"(C) Brayan Pena ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Anthony DeSclafani ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Carlos Correa ,(3B) Jung Ho Kang "
77,96694764,bronxbombr2 (2/Unl.),0,153.95,"(2B) Brandon Phillips ,(C) Yadier Molina ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(3B) Matt Carpenter ,(SS) Eugenio Suarez "
77,96739492,Catchdsmobz (7/Unl.),0,153.95,"(C) Brayan Pena ,(2B) Luis Valbuena ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Lance Lynn ,(SS) Jordy Mercer ,(3B) Josh Harrison ,(P) Dallas Keuchel ,(OF) Preston Tucker "
79,96706470,NEDJUNIOR (1/Unl.),0,153.6,"(C) Yadier Molina ,(OF) Andrew McCutchen ,(1B) Todd Frazier ,(OF) Giancarlo Stanton ,(3B) Josh Harrison ,(2B) Kolten Wong ,(OF) Randal Grichuk ,(P) Adam Warren ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria "
80,96713816,jgolfer33 (1/Unl.),0,152.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(P) Dan Haren ,(OF) Andrew McCutchen ,(1B) Todd Frazier ,(3B) Josh Harrison ,(P) Dallas Keuchel ,(OF) George Springer ,(C) J.T. Realmuto ,(SS) Jung Ho Kang "
